atividade_economica,faturamento_mensal,numero_de_funcionarios,localizacao,idade,inovacao
Comércio,713109.95,12,Rio de Janeiro,6,1
Comércio,790714.38,9,São Paulo,15,0
Comércio,1197239.33,17,São Paulo,4,9
Indústria,449185.78,15,São Paulo,6,0
Agronegócio,1006373.16,15,São Paulo,15,8
Serviços,1629562.41,16,Rio de Janeiro,11,4
Serviços,771179.95,13,Vitória,0,1
Serviços,707837.61,16,São Paulo,10,6
Comércio,888983.66,17,Belo Horizonte,10,1
Indústria,1098512.64,13,Rio de Janeiro,9,3
Comércio,695548.78,11,Rio de Janeiro,10,4
Agronegócio,556632.55,14,Rio de Janeiro,9,4
Serviços,800123.32,15,Rio de Janeiro,11,6
Serviços,1544423.2,15,Vitória,9,3
Comércio,1058543.63,12,Belo Horizonte,8,8
Comércio,783081.11,10,Belo Horizonte,8,7
Serviços,566156.05,15,Vitória,8,8
Agronegócio,1047680.24,14,Rio de Janeiro,12,0
Indústria,836793.37,12,Rio de Janeiro,10,7
Agronegócio,1072955.49,14,São Paulo,12,5
Comércio,1125089.99,16,Rio de Janeiro,6,2
Serviços,1424196.41,17,Vitória,16,2
Serviços,1376884.23,17,Rio de Janeiro,9,4
Comércio,1240936.73,19,São Paulo,13,5
Indústria,947515.95,18,Vitória,15,2
Comércio,1237763.98,18,São Paulo,7,1
Comércio,1181642.63,10,São Paulo,7,7
Comércio,782097.18,11,Vitória,9,6
Agronegócio,111926.48,13,Rio de Janeiro,4,2
Indústria,489936.94,13,Belo Horizonte,12,1
Indústria,1164187.89,13,São Paulo,3,2
Indústria,1418374.5,16,Vitória,7,9
Serviços,1325421.71,14,Vitória,12,5
Serviços,445704.4,13,Belo Horizonte,7,6
Agronegócio,958656.71,4,Vitória,5,5
Serviços,1207754.02,12,Rio de Janeiro,12,3
Agronegócio,1258551.12,15,Vitória,12,5
Serviços,1051870.82,16,São Paulo,9,6
Agronegócio,1116791.99,17,Belo Horizonte,11,8
Indústria,944040.44,10,Belo Horizonte,7,7
Comércio,878314.15,9,Rio de Janeiro,6,6
Serviços,645734.68,15,São Paulo,9,3
Serviços,1197770.02,17,São Paulo,7,3
Comércio,619332.74,17,Rio de Janeiro,6,4
Comércio,973809.28,17,Rio de Janeiro,14,1
Indústria,1055849.89,16,Belo Horizonte,13,9
Comércio,743078.06,12,São Paulo,12,3
Indústria,853682.38,11,São Paulo,8,0
Agronegócio,1188462.86,17,Rio de Janeiro,9,8
Agronegócio,1922245.53,10,Rio de Janeiro,9,7
Comércio,854257.82,13,Vitória,13,6
Serviços,296714.92,8,Rio de Janeiro,8,1
Indústria,1398126.07,12,São Paulo,12,2
Agronegócio,1366079.54,15,Vitória,12,3
Serviços,615848.03,15,São Paulo,3,0
Comércio,95680.54,12,Rio de Janeiro,12,0
Comércio,588181.56,16,Vitória,8,2
Agronegócio,2263343.91,12,Belo Horizonte,9,1
Serviços,992946.81,16,Vitória,10,5
Agronegócio,990270.34,16,Vitória,7,9
Indústria,899158.38,10,Rio de Janeiro,7,9
Indústria,969864.84,17,Vitória,10,4
Serviços,866778.96,15,Rio de Janeiro,6,1
Indústria,1523849.47,16,Vitória,10,7
Comércio,842146.63,12,Vitória,8,8
Serviços,431140.66,10,São Paulo,9,3
Comércio,1102025.65,6,Rio de Janeiro,10,5
Indústria,837639.72,14,Vitória,2,2
Indústria,1539172.91,12,Belo Horizonte,10,0
Agronegócio,662659.12,15,Belo Horizonte,14,1
Indústria,873208.52,13,São Paulo,6,5
Comércio,1191112.82,15,Vitória,13,1
Agronegócio,936929.11,14,Rio de Janeiro,11,1
Comércio,653645.84,10,Vitória,6,7
Serviços,914998.87,14,Rio de Janeiro,13,5
Agronegócio,931561.93,9,Belo Horizonte,12,2
